-1.75,0.8,-1.5707963267949,0.0
-1.9,1.383,,0.2
-2.1,1.913,,0.2
-2.2,2.298,1.5707963267949,0.2
-2.3,2.67,,0.2
-2.5,2.67,,0.2
-2.75,2.67,,0.2
-3.0,2.67,,
-3.25,2.67,,
-3.5,2.67,,
-3.75,2.67,,
-4.0,2.67,,0.7
-4.25,2.67,,0.4
-4.5,2.67,,0.15
-4.75,2.62,,0.15
-5.1,2.7,1.5707963267949,0.15
-5.25,2.8,,0.15
-5.35,3.0,,0.15
-5.4,3.25,0.0,0.15
-5.45,3.5,,
-5.45,3.75,,
-5.45,4.0,,
-5.45,4.25,,
-5.45,4.5,,
-5.45,4.75,,
-5.45,5.0,,
-5.45,5.25,,
-5.45,5.5,,
-5.45,5.75,,
-5.45,6.0,,
-5.45,6.25,,
-5.45,6.5,,
-5.45,6.75,,
-5.45,7.0,,
-5.45,7.25,,
-5.45,7.5,,
-5.45,7.75,,
-5.45,8.0,,
-5.45,8.25,,
-5.45,8.5,,
-5.45,8.75,,
-5.45,9.0,,1.0
-5.4,9.25,0.0,1.0
-5.15022953040337,9.86442655027092,,1.0
-4.48158112582781,10.3,,1.0
-3.84943181818181,10.5932796508128,,
-3.2151715833835,10.8791578868152,,
-2.5,11.0,,0.4
-2.0,11.0,,0.2
-1.5,11.0,0.0,0.0
